part,rank,global_pos,coord,turn,sgf_file,board_npy,analysis_file
44,1,286,E6,16,pos_286/game.sgf,pos_286/board.npy,pos_286/analysis.json
44,2,4869,F5,11,pos_4869/game.sgf,pos_4869/board.npy,pos_4869/analysis.json
44,3,287,A1,23,pos_287/game.sgf,pos_287/board.npy,pos_287/analysis.json
45,1,4832,C4,6,pos_4832/game.sgf,pos_4832/board.npy,pos_4832/analysis.json
45,2,1316,E4,5,pos_1316/game.sgf,pos_1316/board.npy,pos_1316/analysis.json
45,3,3083,D5,6,pos_3083/game.sgf,pos_3083/board.npy,pos_3083/analysis.json
46,1,2526,G2,1,pos_2526/game.sgf,pos_2526/board.npy,pos_2526/analysis.json
46,2,3558,G2,1,pos_3558/game.sgf,pos_3558/board.npy,pos_3558/analysis.json
46,3,4802,D7,19,pos_4802/game.sgf,pos_4802/board.npy,pos_4802/analysis.json
47,1,4663,A1,1,pos_4663/game.sgf,pos_4663/board.npy,pos_4663/analysis.json
47,2,6024,E2,8,pos_6024/game.sgf,pos_6024/board.npy,pos_6024/analysis.json
47,3,550,E2,22,pos_550/game.sgf,pos_550/board.npy,pos_550/analysis.json
48,1,1564,G3,32,pos_1564/game.sgf,pos_1564/board.npy,pos_1564/analysis.json
48,2,1569,A1,1,pos_1569/game.sgf,pos_1569/board.npy,pos_1569/analysis.json
48,3,6497,E6,24,pos_6497/game.sgf,pos_6497/board.npy,pos_6497/analysis.json
49,1,1950,A1,1,pos_1950/game.sgf,pos_1950/board.npy,pos_1950/analysis.json
49,2,4857,D1,1,pos_4857/game.sgf,pos_4857/board.npy,pos_4857/analysis.json
49,3,2565,PASS,1,pos_2565/game.sgf,pos_2565/board.npy,pos_2565/analysis.json
